Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1082154,-,-,-,-3.99,-79.26,-5,2456,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.0
Year,Month,Day,Hour,Minute,Wind Speed,Relative Humidity,Temperature,Pressure,GHI,Wind Direction
2018,1,1,0,0,0.9,100,10.9,767,0,243
2018,1,1,0,30,0.8,100,10.9,767,0,243
2018,1,1,1,0,0.6000000000000001,100,10.8,766,0,243
2018,1,1,1,30,0.5,100,10.700000000000001,766,0,242
2018,1,1,2,0,0.30000000000000004,100,10.700000000000001,766,0,240
2018,1,1,2,30,0.2,100,10.600000000000001,766,0,208
2018,1,1,3,0,0.1,100,10.600000000000001,766,0,175
2018,1,1,3,30,0.1,100,10.600000000000001,766,0,118
2018,1,1,4,0,0.1,100,10.600000000000001,766,0,61
2018,1,1,4,30,0.2,100,10.600000000000001,766,0,63
2018,1,1,5,0,0.30000000000000004,100,10.600000000000001,767,0,64
2018,1,1,5,30,0.4,100,10.700000000000001,767,0,63
2018,1,1,6,0,0.5,100,10.8,767,0,63
2018,1,1,6,30,0.7000000000000001,100,11.5,767,8,55
2018,1,1,7,0,1,100,12.3,768,22,48
2018,1,1,7,30,1,96.72,13.3,768,65,40
2018,1,1,8,0,1.1,91.08,14.200000000000001,768,77,32
2018,1,1,8,30,1.1,84.86,15.3,768,144,30
2018,1,1,9,0,1.1,78.08,16.3,768,375,29
2018,1,1,9,30,1.1,74.22,17.1,768,463,27
2018,1,1,10,0,1.1,69.58,17.8,768,410,25
2018,1,1,10,30,1,68.28,18.1,768,564,19
2018,1,1,11,0,0.9,66.44,18.400000000000002,767,558,14
2018,1,1,11,30,0.8,66.03,18.5,767,587,184
2018,1,1,12,0,0.8,65.83,18.6,767,542,355
2018,1,1,12,30,0.7000000000000001,67.08,18.3,767,542,335
2018,1,1,13,0,0.6000000000000001,68.51,18.1,766,640,315
2018,1,1,13,30,0.6000000000000001,70.7,17.6,766,727,297
2018,1,1,14,0,0.7000000000000001,73.64,17.2,766,641,278
2018,1,1,14,30,0.8,75.53,16.8,766,480,268
2018,1,1,15,0,0.8,78.49,16.400000000000002,765,332,259
2018,1,1,15,30,0.9,81.54,15.8,765,246,254
2018,1,1,16,0,1,85.54,15.3,765,296,249
2018,1,1,16,30,1.1,88.9,14.700000000000001,765,218,248
2018,1,1,17,0,1.2000000000000002,94.2,14.100000000000001,765,87,247
2018,1,1,17,30,1.2000000000000002,98.06,13.5,766,20,250
2018,1,1,18,0,1.2000000000000002,100,13,766,8,254
2018,1,1,18,30,1.2000000000000002,100,13,766,1,254
2018,1,1,19,0,1.1,100,12.3,767,0,251
2018,1,1,19,30,1.2000000000000002,100,12.200000000000001,767,0,249
2018,1,1,20,0,1.2000000000000002,100,12,767,0,247
2018,1,1,20,30,1.3,100,11.8,768,0,247
2018,1,1,21,0,1.3,100,11.700000000000001,768,0,246
2018,1,1,21,30,1.3,100,11.600000000000001,768,0,246
2018,1,1,22,0,1.3,100,11.4,768,0,245
2018,1,1,22,30,1.3,100,11.3,768,0,244
2018,1,1,23,0,1.3,100,11.200000000000001,768,0,242
2018,1,1,23,30,1.3,100,11,768,0,241
2018,1,2,0,0,1.2000000000000002,100,10.9,767,0,240
2018,1,2,0,30,1.2000000000000002,100,10.8,767,0,240
2018,1,2,1,0,1.1,100,10.700000000000001,767,0,239
2018,1,2,1,30,0.9,100,10.5,766,0,237
2018,1,2,2,0,0.8,100,10.4,766,0,235
2018,1,2,2,30,0.7000000000000001,100,10.3,766,0,227
2018,1,2,3,0,0.5,100,10.200000000000001,766,0,219
2018,1,2,3,30,0.4,100,10.200000000000001,766,0,199
2018,1,2,4,0,0.30000000000000004,100,10.100000000000001,766,0,180
2018,1,2,4,30,0.2,100,10.100000000000001,766,0,171
2018,1,2,5,0,0.1,100,10.100000000000001,766,0,163
2018,1,2,5,30,0.2,100,10.200000000000001,766,0,136
2018,1,2,6,0,0.30000000000000004,100,10.4,766,0,110
2018,1,2,6,30,0.6000000000000001,100,11.100000000000001,767,12,111
2018,1,2,7,0,0.8,100,11.9,767,125,113
2018,1,2,7,30,0.7000000000000001,96.29,12.9,767,272,137
2018,1,2,8,0,0.7000000000000001,89.59,14,767,401,162
2018,1,2,8,30,0.7000000000000001,84,15,767,527,178
2018,1,2,9,0,0.8,77.63,16.1,767,646,194
2018,1,2,9,30,1,72.87,17.1,767,754,201
2018,1,2,10,0,1.1,66.97,18.1,767,849,207
2018,1,2,10,30,1.3,63.7,18.900000000000002,767,928,213
2018,1,2,11,0,1.4000000000000001,59.620000000000005,19.700000000000003,767,991,220
2018,1,2,11,30,1.6,58.45,20,766,1034,226
2018,1,2,12,0,1.8,56.26,20.400000000000002,766,960,233
2018,1,2,12,30,2,56.26,20.400000000000002,766,735,238
2018,1,2,13,0,2.2,55.88,20.400000000000002,765,586,243
2018,1,2,13,30,2.3000000000000003,56.93,20.1,765,592,247
2018,1,2,14,0,2.5,57.550000000000004,19.900000000000002,765,552,251
2018,1,2,14,30,2.6,59.36,19.400000000000002,765,348,252
2018,1,2,15,0,2.7,61.5,18.900000000000002,764,235,254
2018,1,2,15,30,2.8000000000000003,63.85,18.3,764,172,254
2018,1,2,16,0,2.8000000000000003,66.98,17.7,765,134,254
2018,1,2,16,30,2.6,69.56,17.1,765,107,255
2018,1,2,17,0,2.5,73.13,16.5,765,102,256
2018,1,2,17,30,2,76.45,15.8,765,139,260
2018,1,2,18,0,1.5,83.2,15,765,33,265
2018,1,2,18,30,1.5,83.2,15,765,6,265
2018,1,2,19,0,1.1,89.12,14.100000000000001,766,0,274
2018,1,2,19,30,1,90.87,13.8,766,0,279
2018,1,2,20,0,1,92.96000000000001,13.4,766,0,284
2018,1,2,20,30,1,94.92,13.100000000000001,767,0,287
2018,1,2,21,0,1,96.62,12.8,767,0,291
2018,1,2,21,30,0.9,98.54,12.5,767,0,292
2018,1,2,22,0,0.9,100,12.200000000000001,767,0,293
2018,1,2,22,30,0.7000000000000001,100,11.8,767,0,294
2018,1,2,23,0,0.6000000000000001,100,11.5,767,0,294
2018,1,2,23,30,0.5,100,11.200000000000001,767,0,295
2018,1,3,0,0,0.5,100,10.9,766,0,297
2018,1,3,0,30,0.4,100,10.700000000000001,766,0,301
2018,1,3,1,0,0.4,100,10.5,766,0,306
2018,1,3,1,30,0.30000000000000004,100,10.3,766,0,312
2018,1,3,2,0,0.30000000000000004,100,10.100000000000001,765,0,318
2018,1,3,2,30,0.2,100,10,765,0,319
2018,1,3,3,0,0.2,100,9.8,765,0,321
2018,1,3,3,30,0.1,100,9.8,765,0,318
2018,1,3,4,0,0.1,100,9.700000000000001,765,0,315
2018,1,3,4,30,0,100,9.700000000000001,765,0,163
2018,1,3,5,0,0,100,9.700000000000001,765,0,10
2018,1,3,5,30,0.1,100,9.9,766,0,37
2018,1,3,6,0,0.2,100,10.100000000000001,766,0,64
2018,1,3,6,30,0.30000000000000004,100,11.600000000000001,766,26,64
2018,1,3,7,0,0.5,90.34,13.200000000000001,766,97,63
2018,1,3,7,30,0.4,80.94,14.9,766,256,73
2018,1,3,8,0,0.30000000000000004,68.5,16.6,767,350,82
2018,1,3,8,30,0.30000000000000004,63.51,17.8,767,496,115
2018,1,3,9,0,0.2,56.620000000000005,19.1,767,656,147
2018,1,3,9,30,0.30000000000000004,53.22,20.1,767,771,168
2018,1,3,10,0,0.30000000000000004,48.96,21.1,767,868,188
2018,1,3,10,30,0.4,46.57,21.900000000000002,766,948,204
2018,1,3,11,0,0.5,43.5,22.700000000000003,766,897,220
2018,1,3,11,30,0.6000000000000001,42.2,23.200000000000003,766,886,232
2018,1,3,12,0,0.8,40.31,23.700000000000003,765,1014,243
2018,1,3,12,30,1,40.31,23.700000000000003,765,990,248
2018,1,3,13,0,1.2000000000000002,39.76,23.700000000000003,764,916,253
2018,1,3,13,30,1.4000000000000001,40.24,23.5,764,878,256
2018,1,3,14,0,1.7000000000000002,41.12,23.200000000000003,763,923,259
2018,1,3,14,30,2.1,42.38,22.700000000000003,763,702,262
2018,1,3,15,0,2.4000000000000004,44.61,22.1,763,284,265
2018,1,3,15,30,2.7,46.550000000000004,21.400000000000002,763,343,267
2018,1,3,16,0,3,50.35,20.6,763,333,270
2018,1,3,16,30,3,53.88,19.5,763,261,271
2018,1,3,17,0,3,60.65,18.400000000000002,764,253,272
2018,1,3,17,30,2.7,65.39,17.2,764,178,273
2018,1,3,18,0,2.4000000000000004,75.48,16.1,764,81,274
2018,1,3,18,30,2.4000000000000004,75.48,16.1,764,11,274
2018,1,3,19,0,2.1,85.94,14.5,765,0,275
2018,1,3,19,30,2,88.87,14,766,0,274
2018,1,3,20,0,1.9000000000000001,93.45,13.4,766,0,274
2018,1,3,20,30,1.8,95.91,13,766,0,275
2018,1,3,21,0,1.6,99.53,12.600000000000001,767,0,276
2018,1,3,21,30,1.4000000000000001,100,12.200000000000001,767,0,279
2018,1,3,22,0,1.2000000000000002,100,11.9,767,0,283
2018,1,3,22,30,1,100,11.700000000000001,767,0,292
2018,1,3,23,0,0.8,100,11.5,767,0,301
2018,1,3,23,30,0.7000000000000001,100,11.4,767,0,315
2018,1,4,0,0,0.6000000000000001,100,11.3,766,0,330
2018,1,4,0,30,0.5,100,11.200000000000001,766,0,167
2018,1,4,1,0,0.5,100,11.100000000000001,766,0,3
2018,1,4,1,30,0.4,100,11,765,0,12
2018,1,4,2,0,0.30000000000000004,100,10.9,765,0,20
2018,1,4,2,30,0.30000000000000004,100,10.9,765,0,46
2018,1,4,3,0,0.2,100,10.9,765,0,72
2018,1,4,3,30,0.4,100,10.700000000000001,765,0,78
2018,1,4,4,0,0.5,100,10.5,765,0,83
2018,1,4,4,30,0.5,100,10.4,765,0,82
2018,1,4,5,0,0.6000000000000001,100,10.200000000000001,765,0,81
2018,1,4,5,30,0.9,100,10.600000000000001,765,0,82
2018,1,4,6,0,1.1,100,10.9,766,0,82
2018,1,4,6,30,1.6,100,12.100000000000001,766,28,79
2018,1,4,7,0,2.1,96.74000000000001,13.4,767,98,76
2018,1,4,7,30,2.3000000000000003,88.38,14.8,767,205,69
2018,1,4,8,0,2.4000000000000004,79.68,16.2,767,344,63
2018,1,4,8,30,2.5,74.32000000000001,17.3,767,460,64
2018,1,4,9,0,2.5,67,18.400000000000002,767,590,64
2018,1,4,9,30,2.4000000000000004,63.35,19.3,767,673,66
2018,1,4,10,0,2.4000000000000004,58.97,20.1,767,837,67
2018,1,4,10,30,2.3000000000000003,56.83,20.700000000000003,767,930,68
2018,1,4,11,0,2.2,53.99,21.3,766,899,69
2018,1,4,11,30,2.1,53.34,21.5,766,919,70
2018,1,4,12,0,2.1,51.9,21.8,766,952,71
2018,1,4,12,30,1.9000000000000001,51.9,21.8,766,900,71
2018,1,4,13,0,1.8,51.59,21.8,765,911,71
2018,1,4,13,30,1.6,52.22,21.6,765,794,70
2018,1,4,14,0,1.3,53.36,21.3,765,554,69
2018,1,4,14,30,1,55.36,20.700000000000003,765,508,68
2018,1,4,15,0,0.7000000000000001,57.95,20.1,765,477,67
2018,1,4,15,30,0.5,60.51,19.400000000000002,765,372,56
2018,1,4,16,0,0.2,64.59,18.6,765,158,46
2018,1,4,16,30,0.30000000000000004,68.33,17.7,765,54,158
2018,1,4,17,0,0.30000000000000004,74.53,16.8,765,19,271
2018,1,4,17,30,0.6000000000000001,80.03,15.700000000000001,766,10,273
2018,1,4,18,0,0.9,91.03,14.600000000000001,766,6,275
2018,1,4,18,30,0.9,91.03,14.600000000000001,766,1,275
2018,1,4,19,0,0.9,100,13.4,767,0,272
2018,1,4,19,30,0.8,100,13.100000000000001,767,0,273
2018,1,4,20,0,0.8,100,12.700000000000001,767,0,273
2018,1,4,20,30,0.8,100,12.600000000000001,768,0,275
2018,1,4,21,0,0.8,100,12.4,768,0,278
2018,1,4,21,30,0.8,100,12.3,768,0,281
2018,1,4,22,0,0.8,100,12.100000000000001,768,0,283
2018,1,4,22,30,0.8,100,12,768,0,285
2018,1,4,23,0,0.8,100,11.9,768,0,287
2018,1,4,23,30,0.8,100,11.8,768,0,292
2018,1,5,0,0,0.8,100,11.700000000000001,768,0,296
2018,1,5,0,30,0.8,100,11.600000000000001,767,0,300
2018,1,5,1,0,0.8,100,11.5,767,0,304
2018,1,5,1,30,0.8,100,11.4,767,0,305
2018,1,5,2,0,0.7000000000000001,100,11.3,766,0,305
2018,1,5,2,30,0.7000000000000001,100,11.200000000000001,766,0,303
2018,1,5,3,0,0.7000000000000001,100,11.100000000000001,766,0,301
2018,1,5,3,30,0.6000000000000001,100,11.100000000000001,766,0,302
2018,1,5,4,0,0.5,100,11,766,0,303
2018,1,5,4,30,0.4,100,10.9,767,0,311
2018,1,5,5,0,0.4,100,10.9,767,0,319
2018,1,5,5,30,0.30000000000000004,100,10.9,767,0,337
2018,1,5,6,0,0.30000000000000004,100,10.9,767,0,355
2018,1,5,6,30,0.6000000000000001,100,11.5,768,11,201
2018,1,5,7,0,0.9,100,12.100000000000001,768,35,46
2018,1,5,7,30,1.3,99.45,13.100000000000001,768,67,48
2018,1,5,8,0,1.6,91.02,14.100000000000001,768,97,49
2018,1,5,8,30,1.8,83.2,15.5,768,218,50
2018,1,5,9,0,2,72.57000000000001,16.8,768,351,50
2018,1,5,9,30,2,67.29,18,768,350,50
2018,1,5,10,0,2,60.52,19.1,768,303,50
2018,1,5,10,30,1.9000000000000001,58.67,19.6,768,438,49
2018,1,5,11,0,1.7000000000000002,56.2,20,768,326,48
2018,1,5,11,30,1.6,55.78,20.1,767,319,47
2018,1,5,12,0,1.4000000000000001,55.33,20.200000000000003,767,501,46
2018,1,5,12,30,1.3,55.67,20.1,767,285,44
2018,1,5,13,0,1.1,55.980000000000004,20.1,767,255,43
2018,1,5,13,30,1,56.95,19.8,766,320,41
2018,1,5,14,0,0.8,58.300000000000004,19.5,766,501,39
2018,1,5,14,30,0.6000000000000001,60.14,19,766,462,39
2018,1,5,15,0,0.5,62.64,18.5,766,270,38
2018,1,5,15,30,0.30000000000000004,64.63,18,766,257,192
2018,1,5,16,0,0.1,67.99,17.400000000000002,766,270,345
2018,1,5,16,30,0.30000000000000004,70.61,16.8,766,114,295
2018,1,5,17,0,0.4,74.69,16.2,766,68,244
2018,1,5,17,30,0.6000000000000001,78.60000000000001,15.4,766,57,249
2018,1,5,18,0,0.8,87.08,14.600000000000001,766,24,253
2018,1,5,18,30,0.8,87.08,14.600000000000001,766,4,253
2018,1,5,19,0,0.9,95.01,13.600000000000001,767,0,250
2018,1,5,19,30,0.9,97.51,13.200000000000001,767,0,246
2018,1,5,20,0,0.9,100,12.8,768,0,243
2018,1,5,20,30,0.9,100,12.5,768,0,240
2018,1,5,21,0,0.9,100,12.200000000000001,768,0,237
2018,1,5,21,30,0.9,100,12,769,0,234
2018,1,5,22,0,0.8,100,11.8,769,0,232
2018,1,5,22,30,0.8,100,11.700000000000001,769,0,230
2018,1,5,23,0,0.7000000000000001,100,11.5,769,0,229
2018,1,5,23,30,0.7000000000000001,100,11.4,768,0,230
2018,1,6,0,0,0.6000000000000001,100,11.3,768,0,232
2018,1,6,0,30,0.6000000000000001,100,11.100000000000001,767,0,234
2018,1,6,1,0,0.5,100,11,767,0,236
2018,1,6,1,30,0.4,100,11,767,0,233
2018,1,6,2,0,0.4,100,10.9,767,0,229
2018,1,6,2,30,0.30000000000000004,100,10.8,766,0,211
2018,1,6,3,0,0.30000000000000004,100,10.8,766,0,193
2018,1,6,3,30,0.30000000000000004,100,10.8,766,0,169
2018,1,6,4,0,0.30000000000000004,100,10.700000000000001,766,0,145
2018,1,6,4,30,0.30000000000000004,100,10.700000000000001,767,0,135
2018,1,6,5,0,0.30000000000000004,100,10.600000000000001,767,0,124
2018,1,6,5,30,0.4,100,10.8,767,0,116
2018,1,6,6,0,0.5,100,10.9,767,0,108
2018,1,6,6,30,0.7000000000000001,100,11.600000000000001,768,20,100
2018,1,6,7,0,0.9,100,12.3,768,87,91
2018,1,6,7,30,1,95.82000000000001,13.200000000000001,768,178,82
2018,1,6,8,0,1.1,88.51,14.100000000000001,768,264,72
2018,1,6,8,30,1.2000000000000002,83.63,15,769,358,71
2018,1,6,9,0,1.2000000000000002,76.58,15.9,769,418,71
2018,1,6,9,30,1.1,72.7,16.7,768,619,70
2018,1,6,10,0,1,67.45,17.5,768,713,69
2018,1,6,10,30,0.8,65.78,17.900000000000002,768,588,64
2018,1,6,11,0,0.6000000000000001,63.99,18.3,768,591,58
2018,1,6,11,30,0.5,63.190000000000005,18.5,768,498,209
2018,1,6,12,0,0.30000000000000004,63.32,18.6,767,514,360
2018,1,6,12,30,0.4,63.71,18.5,767,447,327
2018,1,6,13,0,0.5,64.69,18.5,767,443,294
2018,1,6,13,30,0.7000000000000001,65.83,18.2,766,540,282
2018,1,6,14,0,0.8,67.65,18,766,409,271
2018,1,6,14,30,1,69.37,17.6,766,191,265
2018,1,6,15,0,1.2000000000000002,72.13,17.2,765,62,260
2018,1,6,15,30,1.4000000000000001,74.45,16.7,765,50,257
2018,1,6,16,0,1.6,78.24,16.2,765,46,254
2018,1,6,16,30,1.6,81.39,15.600000000000001,766,38,253
2018,1,6,17,0,1.7000000000000002,86.79,15,766,28,252
2018,1,6,17,30,1.6,90.2,14.4,766,11,254
2018,1,6,18,0,1.4000000000000001,97.96000000000001,13.700000000000001,766,6,256
2018,1,6,18,30,1.4000000000000001,97.96000000000001,13.700000000000001,766,1,256
2018,1,6,19,0,1.3,100,12.9,767,0,255
2018,1,6,19,30,1.3,100,12.600000000000001,767,0,254
2018,1,6,20,0,1.3,100,12.3,767,0,253
2018,1,6,20,30,1.2000000000000002,100,12.100000000000001,768,0,252
2018,1,6,21,0,1.2000000000000002,100,11.8,768,0,251
2018,1,6,21,30,1.2000000000000002,100,11.600000000000001,768,0,252
2018,1,6,22,0,1.1,100,11.5,768,0,253
2018,1,6,22,30,1,100,11.3,768,0,256
2018,1,6,23,0,1,100,11.200000000000001,768,0,260
2018,1,6,23,30,0.9,100,11.100000000000001,767,0,264
2018,1,7,0,0,0.9,100,10.9,767,0,269
2018,1,7,0,30,0.8,100,10.8,767,0,272
2018,1,7,1,0,0.7000000000000001,100,10.8,766,0,274
2018,1,7,1,30,0.6000000000000001,100,10.700000000000001,766,0,274
2018,1,7,2,0,0.5,100,10.600000000000001,766,0,274
2018,1,7,2,30,0.4,100,10.5,766,0,270
2018,1,7,3,0,0.2,100,10.4,766,0,266
2018,1,7,3,30,0.1,100,10.4,766,0,189
2018,1,7,4,0,0,100,10.3,766,0,112
2018,1,7,4,30,0,100,10.3,766,0,81
2018,1,7,5,0,0,100,10.200000000000001,766,0,49
2018,1,7,5,30,0.1,100,10.3,766,0,48
2018,1,7,6,0,0.1,100,10.5,767,0,48
2018,1,7,6,30,0.1,100,11.3,767,27,40
2018,1,7,7,0,0.1,100,12,767,115,32
2018,1,7,7,30,0.30000000000000004,95.14,13.200000000000001,767,235,139
2018,1,7,8,0,0.5,88.24,14.3,768,340,246
2018,1,7,8,30,0.7000000000000001,82.22,15.4,768,505,244
2018,1,7,9,0,1,74.95,16.5,768,644,242
2018,1,7,9,30,1.1,71.71000000000001,17.2,768,740,243
2018,1,7,10,0,1.3,66.49,18,767,779,245
2018,1,7,10,30,1.4000000000000001,64.05,18.6,767,778,247
2018,1,7,11,0,1.5,60.63,19.200000000000003,767,921,249
2018,1,7,11,30,1.6,58.42,19.8,767,1035,252
2018,1,7,12,0,1.7000000000000002,54.93,20.400000000000002,766,1070,255
2018,1,7,12,30,1.8,54.26,20.6,766,1075,258
2018,1,7,13,0,1.8,51.75,20.900000000000002,765,1060,261
2018,1,7,13,30,1.9000000000000001,52.39,20.700000000000003,765,1025,261
2018,1,7,14,0,1.9000000000000001,52,20.5,765,971,262
2018,1,7,14,30,2,53.63,20,765,899,261
2018,1,7,15,0,2.1,54.78,19.6,764,810,260
2018,1,7,15,30,2.2,56.86,19,764,667,260
2018,1,7,16,0,2.3000000000000003,59.38,18.5,764,591,260
2018,1,7,16,30,2.3000000000000003,62.51,17.7,765,467,261
2018,1,7,17,0,2.3000000000000003,67.96000000000001,17,765,324,263
2018,1,7,17,30,2.1,71.95,16.1,765,182,267
2018,1,7,18,0,1.9000000000000001,81.03,15.200000000000001,765,76,270
2018,1,7,18,30,1.9000000000000001,81.03,15.200000000000001,765,13,270
2018,1,7,19,0,1.6,88.57000000000001,14.100000000000001,766,0,273
2018,1,7,19,30,1.5,91.01,13.700000000000001,767,0,272
2018,1,7,20,0,1.4000000000000001,94.76,13.3,767,0,272
2018,1,7,20,30,1.4000000000000001,96.62,13,767,0,273
2018,1,7,21,0,1.4000000000000001,99.62,12.700000000000001,767,0,274
2018,1,7,21,30,1.3,100,12.4,767,0,274
2018,1,7,22,0,1.3,100,12.200000000000001,768,0,274
2018,1,7,22,30,1.2000000000000002,100,12,767,0,274
2018,1,7,23,0,1.1,100,11.700000000000001,767,0,275
2018,1,7,23,30,1,100,11.600000000000001,767,0,275
2018,1,8,0,0,0.9,100,11.4,767,0,275
2018,1,8,0,30,0.7000000000000001,100,11.3,766,0,279
2018,1,8,1,0,0.5,100,11.100000000000001,766,0,283
2018,1,8,1,30,0.30000000000000004,100,11,766,0,299
2018,1,8,2,0,0.2,100,10.9,766,0,314
2018,1,8,2,30,0.2,100,10.8,766,0,162
2018,1,8,3,0,0.1,100,10.700000000000001,765,0,10
2018,1,8,3,30,0.1,100,10.600000000000001,765,0,181
2018,1,8,4,0,0.1,100,10.600000000000001,765,0,353
2018,1,8,4,30,0.1,100,10.5,766,0,179
2018,1,8,5,0,0.1,100,10.4,766,0,6
2018,1,8,5,30,0.2,100,10.600000000000001,766,0,19
2018,1,8,6,0,0.30000000000000004,100,10.700000000000001,766,0,33
2018,1,8,6,30,0.4,100,11.8,766,18,38
2018,1,8,7,0,0.4,95.55,12.9,767,70,44
2018,1,8,7,30,0.30000000000000004,87.25,14.3,767,151,185
2018,1,8,8,0,0.1,77.2,15.600000000000001,767,298,327
2018,1,8,8,30,0.30000000000000004,72.44,16.6,767,455,282
2018,1,8,9,0,0.4,63.67,17.7,767,648,237
2018,1,8,9,30,0.6000000000000001,61.32,18.3,767,747,234
2018,1,8,10,0,0.7000000000000001,55.77,19,767,813,231
2018,1,8,10,30,0.9,54.33,19.400000000000002,766,919,233
2018,1,8,11,0,1,50.69,19.900000000000002,766,996,235
2018,1,8,11,30,1.2000000000000002,50.06,20.1,766,964,239
2018,1,8,12,0,1.3,48.67,20.3,766,974,243
2018,1,8,12,30,1.5,48.300000000000004,20.400000000000002,765,998,247
2018,1,8,13,0,1.7000000000000002,48.31,20.400000000000002,765,979,251
2018,1,8,13,30,1.9000000000000001,48.910000000000004,20.200000000000003,765,917,254
2018,1,8,14,0,2.1,50.01,20,764,760,257
2018,1,8,14,30,2.3000000000000003,51.58,19.5,764,624,258
2018,1,8,15,0,2.5,53.9,19.1,764,558,260
2018,1,8,15,30,2.5,55.95,18.5,764,446,262
2018,1,8,16,0,2.6,59.96,17.900000000000002,764,391,263
2018,1,8,16,30,2.5,63.06,17.1,764,305,266
2018,1,8,17,0,2.4000000000000004,69.62,16.3,764,207,268
2018,1,8,17,30,2.1,73.36,15.5,765,131,270
2018,1,8,18,0,1.9000000000000001,81.82000000000001,14.700000000000001,765,54,273
2018,1,8,18,30,1.9000000000000001,81.82000000000001,14.700000000000001,765,7,273
2018,1,8,19,0,1.7000000000000002,88.7,13.700000000000001,766,0,270
2018,1,8,19,30,1.7000000000000002,91.03,13.3,766,0,267
2018,1,8,20,0,1.7000000000000002,93.34,13,766,0,264
2018,1,8,20,30,1.6,95.18,12.700000000000001,766,0,264
2018,1,8,21,0,1.5,97.76,12.4,767,0,264
2018,1,8,21,30,1.4000000000000001,99.7,12.100000000000001,767,0,266
2018,1,8,22,0,1.3,100,11.8,767,0,269
2018,1,8,22,30,1.1,100,11.600000000000001,767,0,275
2018,1,8,23,0,0.9,100,11.4,767,0,282
2018,1,8,23,30,0.8,100,11.200000000000001,766,0,295
2018,1,9,0,0,0.6000000000000001,100,11,766,0,308
2018,1,9,0,30,0.6000000000000001,100,10.9,766,0,324
2018,1,9,1,0,0.5,100,10.700000000000001,765,0,341
2018,1,9,1,30,0.5,100,10.600000000000001,765,0,171
2018,1,9,2,0,0.4,100,10.5,765,0,2
2018,1,9,2,30,0.4,100,10.3,765,0,2
2018,1,9,3,0,0.30000000000000004,100,10.200000000000001,765,0,3
2018,1,9,3,30,0.30000000000000004,100,10.100000000000001,765,0,14
2018,1,9,4,0,0.30000000000000004,100,10.100000000000001,765,0,24
2018,1,9,4,30,0.4,100,10,765,0,37
2018,1,9,5,0,0.5,100,10,765,0,49
2018,1,9,5,30,0.6000000000000001,100,10.200000000000001,766,0,55
2018,1,9,6,0,0.7000000000000001,100,10.4,766,0,61
2018,1,9,6,30,1.1,100,11.200000000000001,766,7,60
2018,1,9,7,0,1.5,100,12.100000000000001,766,20,60
2018,1,9,7,30,1.5,93.81,13.100000000000001,766,64,56
2018,1,9,8,0,1.6,88.04,14.100000000000001,766,130,53
2018,1,9,8,30,1.4000000000000001,82.55,15.100000000000001,766,222,54
2018,1,9,9,0,1.3,75.04,16.2,766,343,55
2018,1,9,9,30,1.2000000000000002,72.24,16.8,766,486,55
2018,1,9,10,0,1.1,67.05,17.5,766,506,56
2018,1,9,10,30,1,64.57000000000001,18.1,766,447,56
2018,1,9,11,0,0.8,61.43,18.6,766,511,56
2018,1,9,11,30,0.6000000000000001,60.22,18.900000000000002,765,564,52
2018,1,9,12,0,0.30000000000000004,58.04,19.3,765,537,48
2018,1,9,12,30,0.30000000000000004,58.04,19.3,765,601,164
2018,1,9,13,0,0.30000000000000004,57.68,19.3,764,709,279
2018,1,9,13,30,0.6000000000000001,58.4,19.1,764,717,271
2018,1,9,14,0,0.9,59.38,18.900000000000002,764,623,264
2018,1,9,14,30,1.2000000000000002,60.88,18.5,764,409,264
2018,1,9,15,0,1.5,62.58,18.2,764,233,264
2018,1,9,15,30,1.7000000000000002,65.38,17.5,764,198,265
2018,1,9,16,0,1.9000000000000001,69.2,16.900000000000002,764,318,267
2018,1,9,16,30,2,72.8,16.1,764,211,268
2018,1,9,17,0,2,79.4,15.3,764,71,269
2018,1,9,17,30,1.8,83.59,14.5,764,14,272
2018,1,9,18,0,1.6,93.84,13.600000000000001,765,7,275
2018,1,9,18,30,1.6,93.84,13.600000000000001,765,1,275
2018,1,9,19,0,1.4000000000000001,100,12.700000000000001,765,0,277
2018,1,9,19,30,1.4000000000000001,100,12.4,766,0,278
2018,1,9,20,0,1.4000000000000001,100,12.100000000000001,766,0,278
2018,1,9,20,30,1.4000000000000001,100,11.9,766,0,278
